id_che300,id_autohome,id_souhu,id_yiche,id_czb
1,13521,119955,101722,4044
2,13522,119956,101721,4045
3,13515,119957,101719,4039
4,13523,119958,101723,4046
5,13524,119959,101724,4047
6,13525,119960,101725,4048
7,16957,123854,105322,6719
8,13526,119961,101726,4049
9,13527,119962,101727,4050
10,10760,117750,15055,1971
11,10761,117751,15048,1972
12,10762,117752,15049,1973
13,10763,117753,15050,1974
14,10764,117754,15051,1975
15,10765,117755,15052,1976
16,10766,117756,15053,1977
17,10767,117757,15054,1978
18,8575,115763,12032,13332
19,8578,115764,12036,13335
20,8579,115765,12037,13336
21,8580,116464,12038,13337
22,8581,115766,12039,13338
23,8583,115767,12040,13339
24,8584,115747,12041,13340
25,8585,115768,12042,13341
26,5863,113877,9132,11409
27,5886,113878,9177,11427
28,5887,113879,9176,11428
29,5888,113880,9175,11429
30,5889,113881,9178,11430
31,5864,113876,9131,11410
32,5890,113882,9179,11431
33,4637,112915,7250,10521
34,4641,113087,7251,10524
35,4642,113088,7427,10525
36,4640,113089,7252,10523
37,4639,113090,7209,10522
38,15734,122369,103823,5724
39,15837,122370,103826,5790
40,15838,122371,103828,5791
41,15839,122372,103830,5792
42,15840,122373,103831,5793
43,15841,122374,103832,5794
44,11446,118346,15461,2471
45,11447,118347,15463,2472
46,11448,118348,15465,2473
47,11450,118350,15467,2476
48,11449,118349,15466,2474
49,9017,116114,12546,13652
50,9019,116115,12547,13654
51,9020,116116,12548,13656
52,9021,116117,12549,13657
53,9022,116118,12550,13658
54,5302,114803,9868,10984
55,7362,114806,10692,12425
56,7363,114805,10693,12426
57,7364,114804,10694,12427
58,12412,119011,16516,3164
59,12413,119016,16515,3165
60,12414,119113,16514,3166
61,12203,119112,16513,2997
62,12418,119111,16512,3170
63,12419,119012,16356,3171
64,12415,119110,16510,3167
65,12416,119013,16509,3168
66,12417,119014,16508,3169
67,12268,119015,16355,3033
68,9305,116414,12871,13895
69,9306,116415,12872,13896
70,9307,116416,107060,13897
71,9316,116417,12873,13906
72,9308,116418,12874,13898
73,9309,116419,12875,13899
74,9310,116420,12876,13900
75,9315,116425,0,13905
76,9313,116423,12879,13903
77,9311,116421,12877,13901
78,9312,116422,12878,13902
80,5774,113838,9089,11333
81,5775,113839,9090,11334
82,5779,113840,9091,11338
83,5782,113841,9092,11342
84,5783,113842,9093,11343
85,5781,113843,9094,11341
86,5895,113896,9107,11432
87,5777,113846,9097,11336
88,5780,113844,9095,11340
89,5778,113845,9096,11337
90,5776,113847,9098,11335
91,4441,112781,107059,10358
92,4442,112780,6995,10359
93,4443,112779,6996,10360
94,4444,112782,6997,10361
95,4445,112783,7000,10362
96,4446,112784,7001,10363
97,4430,112791,7005,10347
98,4447,112786,7003,10364
99,4448,112787,7002,10365
100,4449,112795,7007,10366
101,3667,107967,2656,9695
102,3668,111106,2658,9696
103,3670,107974,2665,9699
104,3671,111159,3914,9700
105,0,107972,2663,0
106,0,107952,7327,0
107,0,107970,7328,0
108,0,107936,107025,0
109,0,0,101277,9040415
110,0,107962,4764,0
111,2641,107948,2661,8731
112,0,0,2662,0
113,2643,107942,2664,8733
114,0,107935,2647,9021829
115,1397,107921,2648,4403
116,1397,107881,2650,4403
117,1598,107882,2651,5893
118,1878,107883,2652,8001
119,1596,0,2641,5873
120,0,0,2653,9021875
122,1721,107930,2645,6924
123,0,107930,2643,6924
124,0,107931,4763,0
125,2562,0,2657,8652
126,1599,0,2646,5901
127,0,0,2660,0
128,1720,107920,2659,9000118
129,0,0,2644,0
130,1723,107930,2645,6938
145,0,121670,108736,0
146,0,0,6909,0
149,0,0,107017,9021826
150,0,121668,6914,0
151,0,0,6910,0
152,0,121666,107017,9021826
153,0,121664,6913,9032413
154,0,121667,6915,9018875
157,0,121664,6916,9032413
158,0,121661,6920,0
159,0,121655,107019,9028935
160,100142,121657,15593,9003673
161,100141,121654,15594,9007660
163,0,121643,107044,9005727
164,0,0,107015,9000140
165,0,0,107015,9003818
166,0,0,107015,9000140
167,101051,0,8729,9005713
168,14775,121131,102947,5009
169,15533,122200,103593,5560
170,15534,121130,15342,5561
171,14774,122200,103605,5008
172,15535,122199,103611,5562
173,14411,121129,102948,4717
178,2916,107846,4766,8996
179,2920,107848,6934,9000
180,2921,107850,2695,9001
181,0,107844,2697,9017661
182,1523,107802,2680,5333
184,1524,107801,2681,5336
185,1529,0,109691,9017662
186,1525,107805,2684,5342
187,0,107805,2685,9017656
188,0,107808,2687,9017658
190,0,107808,2696,9017660
191,0,0,2688,9017659
192,0,107803,2682,9017654
193,0,107804,2683,9017655
194,0,107800,2666,9017645
195,0,107811,2677,9017653
197,147,107814,2678,4955
198,982,107813,2670,14226
199,982,107812,2671,9017647
200,854,107815,2672,9017648
201,0,107799,2679,0
202,981,0,4782,9017663
204,0,0,2669,9017646
205,100161,107798,2673,9017649
206,0,0,2674,9017650
207,0,0,2675,9017651
208,0,107797,2676,9017652
218,15642,122558,103980,5647
219,15643,122557,103979,5648
220,15650,122560,103970,5656
221,15649,122561,103971,5654
222,15644,122556,103978,5649
223,15651,122559,103965,5657
224,15646,122554,103975,5651
225,15645,122555,103976,5650
226,15647,122553,103974,5652
227,15648,122552,103972,5653
228,13627,120158,101890,4117
229,13628,120163,101891,4118
230,13634,120157,101888,4124
231,13629,120162,101892,4119
232,13635,120156,101889,4125
233,13631,120160,101894,4121
234,13630,120161,101893,4120
235,13632,120159,101896,4122
236,13633,120164,101897,4123
237,8557,115725,11375,13316
238,8558,115726,12017,13317
239,8559,115727,12018,13318
240,8560,115729,12020,13319
241,7492,115728,12019,12532
242,8561,115730,12021,13320
243,8562,115731,12022,13321
244,5994,113999,9325,11510
245,6282,114273,9632,11719
246,5988,113993,9326,11504
247,5989,114270,9327,11505
248,6307,114275,9634,11739
249,5990,114271,9328,11506
250,6305,114274,9633,11737
251,6306,114277,9636,11738
252,5991,114272,9329,11507
